Rank	Feature	Model	Style	Band/Index
20	Warmest6MeanBandRefl-Band_1	XGBoost_Chipped	MODIS	Band_1
21	CrossIndex-MTCI-EVI-Ratio	XGBoost_Chipped	PACE	MTCI
22	Snow-MaxNDSI	XGBoost_Chipped	MODIS	Snow
23	PACEIndex-NDWI-HighAnthocyanin3Mean	XGBoost_Chipped	PACE	NDWI
24	PACEIndex-MTCI-Median	XGBoost_Chipped	PACE	MTCI
25	BandReflMedianTemp-Band_6	XGBoost_Chipped	MODIS	Band_6
26	Greenest8MeanBandRefl-Band_7	XGBoost_Chipped	MODIS	Band_7
27	Lowest8MeanBandRefl-Band_7	XGBoost_Chipped	MODIS	Band_7
28	PACEIndex-NDRE-HighAnthocyanin3Mean	XGBoost_Chipped	PACE	NDRE
29	PACEIndex-MTCI-Min	XGBoost_Chipped	PACE	MTCI
30	PACEIndex-NDII-Brownest3Mean	XGBoost_Chipped	PACE	NDII
31	PACEIndex-NDII-LowAnthocyanin3Mean	XGBoost_Chipped	PACE	NDII
32	PACEIndex-NDII-Min	XGBoost_Chipped	PACE	NDII
33	Greenest3MeanBandRefl-Band_3	XGBoost_Chipped	MODIS	Band_3
34	BandReflMedian-Band_6	XGBoost_Chipped	MODIS	Band_6
35	BandReflMax-Band_2	XGBoost_Chipped	MODIS	Band_2
36	Warmest3MeanBandRefl-Band31	XGBoost_Chipped	MODIS	Band31
37	PACEIndex-CCI-Greenest3Mean	XGBoost_Chipped	PACE	CCI
38	PACEIndex-NDWI-AmpAnthocyanin	XGBoost_Chipped	PACE	NDWI
39	PACEIndex-REP-Median	XGBoost_Chipped	PACE	REP
40	PACEIndex-NDII-HighAnthocyanin3Mean	XGBoost_Chipped	PACE	NDII
41	Warmest8MeanBandRefl-Band31	XGBoost_Chipped	MODIS	Band31
42	PACEIndex-NDWI-AmpPigmentRatio	XGBoost_Chipped	PACE	NDWI
43	TempMeanWarmest3	XGBoost_Chipped	MODIS	Temp
44	Warmest6MeanBandRefl-Band31	XGBoost_Chipped	MODIS	Band31
45	Warmest8MeanBandRefl-Band_6	XGBoost_Chipped	MODIS	Band_6
46	Lowest8MeanBandRefl-Band_2	XGBoost_Chipped	MODIS	Band_2
47	Greenest3MeanBandRefl-NDVI	XGBoost_Chipped	MODIS	NDVI
48	Greenest3MeanBandRefl-Band_4	XGBoost_Chipped	MODIS	Band_4
49	Lowest3MeanBandRefl-Band_4	XGBoost_Chipped	MODIS	Band_4
